,id,reviews,target
0,0,좋아요 처음 구입 싸게 했어요,2
1,1,생각보다 잘 안돼요 매지 바른지 하루밖에 안됐는데ㅠㅠ 25천 원가량 주고 사기 너무 아깝네요,1
2,2,디자인은 괜찮은데 상품이 금이 가서 교환했는데 두 번째 받은 상품도 까져있고 안쪽에 금이 가져있네요 ㅠ 귀찮아서 그냥 쓰려고요 배송기사님은 친절하셨어요,2
3,3,"기전에 이 제품 말고 이마트 트레이더스에서만 팔던 프리미엄 제품을 사용했었습니다. 샘플 써보고 마음에 들어 구매해 사용 중 같은 제품을 팔지 않아 할 수 없이 플러스를 구매했는데요, 감고 나도 머리가 개운하지 않고 간지럽네요. 저랑은 잘 안 맞는듯해요.",2
4,4,튼튼하고 손목을 잘 받쳐주네요~,5
5,5,"배송은 먼저 구입하신 분들께서 오래 걸린다고 하여 참고 기다렸습니다 생각보다 일찍 도착해서 좋았고요, 하루 전날 배송 아저씨가 전화 와서 내일 1~3시 사이에 온다고 하더니 7시에 왔어 요화나",2
6,6,타이밍이 좋았는지 배송도 빠르고 맛있었어요! 크기가 두 가지가 있길래 큰 걸 사봤는데 기존에 사 먹어봤던 거랑 크기 차이는 없네요 그래도 신선하고 맛있어요!,5
7,7,상품 퀄리티가 좋지 않아요,2
8,8,재구매 평소 사용하던 제품이에요. 한 번에 쟁여두려 여러 개 삽니다.,5
9,9,두께 때문에 별로네요..,2
10,10,재구매 항상 여기서만 주문해서 잘 쓰고 있어요 후딱 쓰기 좋아요 크기도 좋고,5
11,11,화면하고 전혀 틀임,2
12,12,재구매 좋은 제품 저렴하게 잘 구매했습니다.,5
13,13,너무 잘 사용했어요 감사합니다,4
14,14,촉촉하고 피부 트러블이. 없어요. 구성비 갑,5
15,15,다른 거는 다 만족하는데 나사 부분이ㅈ맘에 이ㆍㄴ들어서,4
16,16,"재구매 별로 별로 별로 별로 불량품 교환이나 환불 미흡 고객센터 개인 휴대폰 번호 이제 다른 곳으로 주문,,, 별로 별로",2
17,17,튼튼하고. 좋아요 깔끔하게 정리되어서 좋아요,5
18,18,빠른 배송 신속한 서비스로 잘 받았습니다.,5
19,19,정말 골아서 왔어요 집에서 썩은 내가 진동해서 베란다 문 열고 그래도 내장이랑 분리해봤네요 오징어가 다 핑크색으로 변해있더라고요 내장과 분리해도 냄새가 나서 버려야 할 듯~~ 완전 쓰레기를 돈 주고 샀네요 제발 이런 상품 팔지 마세요 동네 마트가 더 신선해요,1
20,20,강추해요 너무 잘 쓰고 있어ㅇᆢ,5
21,21,먼지가 적다고 하는데 전적은 지 모르겠어요. 극세사라고 하던데.. 어느 면이 극세사인지도 모르겠고요.. 아쉬워요. 이럴 줄 알았음 돈 더 주고 다른 제품 샀을 거 같아요ᅲᅲ,2
22,22,빠른 배송에 친절한 기사님은 기본! 생각보다 고급스럽고 깔끔한 게 주방에 두기 딱 좋아요~ 수납은 적힌 그대로 넉넉합니다^^,5
23,23,재구매 사이즈가 너무 작습니다,2
24,24,깨끗하게 정리되었어요! 굿굿,4
25,25,잘 받았습니다 차량용 선글라스 클립에 낚여서 같이 구매했습니다 여러 가지를 한꺼번에 주문했는데 제일 맘에 드네 요가 성비 아주 좋다고 생각합니다 번창하세요,5
26,26,"굿 아주 맛있어요,.,.,.,.,.,.,.,.,.,.,.,.,...,.,.,.,.,.,,,.,.",5
27,27,행사 때문에 저렴하게 구입했네요~ 성능이 기대됩니다~,5
28,28,세척이 잘 안돼요. 그리고 냄새가 너무 찐해서 머리가 아파요,2
29,29,배송 많이 느려요,2
30,30,정말 예뻐요~!!,5
31,31,항상 마시는 루이보스티,5
32,32,색깔이랑 너무 이쁘고 팔걸이가 넓어 편하고 쿠션감도 좋아요,4
33,33,인터넷으로 사니 저렴하네요 좋습니다,5
34,34,참나.... 어제 받자마자 바로 사용 땅에 박을 수 있는 끝부분? 이 담날 되니 땅에 박혀 버려서 안 나오네요 이건 머 일회용인가요?,2
35,35,맛있어요 깔끔하고 좋네요~,5
36,36,설 연휴라 오래 기다려야 할 줄 알았는데 바로 왔어요 매트리스도 너무 좋아요,5
37,37,양도 많아서 가족들이 쓰기에 적절하고 펌핑식이라 너무 편하고 위생적이에요~ 세정력도 좋아요~:),5
